paper_id,title,authors,decision,abstract,tldr,keywords,code_url,pdf_url,croissant_url
zyBG1j339A,GenSpace: Benchmarking Spatially-Aware Image Generation,"Zehan Wang, Jiayang Xu, Ziang Zhang, Tianyu Pang, Chao Du, Hengshuang Zhao, Zhou Zhao",Accept (poster),"Humans can intuitively compose and arrange scenes in the 3D space for photography. However, can advanced AI image generators plan scenes with similar 3D spatial awareness when creating images from text or image prompts? We present GenSpace, a novel benchmark and evaluation pipeline to comprehensively assess the spatial awareness of current image generation models. Furthermore, standard evaluations using general Vision-Language Models (VLMs) frequently fail to capture the detailed spatial errors. To handle this challenge, we propose a specialized evaluation pipeline and metric, which reconstructs 3D scene geometry using multiple visual foundation models and provides a more accurate and human-aligned metric of spatial faithfulness. Our findings show that while AI models create visually appealing images and can follow general instructions, they struggle with specific 3D details like object placement, relationships, and measurements. We summarize three core limitations in the spatial perception of current state-of-the-art image generation models: 1) Object  Perspective Understanding, 2) Egocentric-Allocentric Transformation, and 3) Metric Measurement Adherence, highlighting possible directions for improving spatial intelligence in image generation.",,Benchmark; Spatial Intelligence,https://github.com/SpatialVision/GenSpace,https://openreview.net/pdf?id=zyBG1j339A,https://openreview.net/attachment?id=zyBG1j339A&name=croissant_file
zubCrOvUZ4,DynamicVL: Benchmarking Multimodal Large Language Models for Dynamic City Understanding,"Weihao Xuan, Junjue Wang, Heli Qi, Zihang Chen, Zhuo Zheng, Yanfei Zhong, Junshi Xia, Naoto Yokoya",Accept (poster),"Multimodal large language models (MLLMs) have demonstrated remarkable capabilities in visual understanding, but their application to long-term Earth observation analysis remains limited, primarily focusing on single-temporal or bi-temporal imagery. To address this gap, we introduce **DVL-Suite**, a comprehensive framework for analyzing long-term urban dynamics through remote sensing imagery. Our suite comprises 14,871 high-resolution (1.0m) multi-temporal images spanning 42 major cities in the U.S. from 2005 to 2023, organized into two components: **DVL-Bench** and **DVL-Instruct**. The *DVL-Bench* includes six urban understanding tasks, from fundamental change detection (*pixel-level*) to quantitative analyses (*regional-level*) and comprehensive urban narratives (*scene-level*), capturing diverse urban dynamics including expansion/transformation patterns, disaster assessment, and environmental challenges. We evaluate 18 state-of-the-art MLLMs and reveal their limitations in long-term temporal understanding and quantitative analysis. These challenges motivate the creation of *DVL-Instruct*, a specialized instruction-tuning dataset designed to enhance models' capabilities in multi-temporal Earth observation. Building upon this dataset, we develop **DVLChat**, a baseline model capable of both image-level question-answering and pixel-level segmentation, facilitating a comprehensive understanding of city dynamics through language interactions. Project: [https://github.com/weihao1115/dynamicvl](https://github.com/weihao1115/dynamicvl).",,"Remote Sensing, Multi-temporal Data, Multimodal Large Language Models, Sustainable City",https://github.com/weihao1115/dynamicvl,https://openreview.net/pdf?id=zubCrOvUZ4,https://openreview.net/attachment?id=zubCrOvUZ4&name=croissant_file
zZn2Kk5CLt,Can Large Multimodal Models Understand Agricultural Scenes? Benchmarking with AgroMind,"Qingmei Li, Yang Zhang, Zurong Mai, Yuhang Chen, Shuohong Lou, Henglian Huang, Jiarui Zhang, Zhiwei Zhang, Yibin Wen, Weijia Li, Haohuan Fu, Huang Jianxi, Juepeng Zheng",Accept (poster),"Large Multimodal Models (LMMs) has demonstrated capabilities across various domains, but comprehensive benchmarks for agricultural remote sensing (RS) remain scarce. Existing benchmarks designed for agricultural RS scenarios exhibit notable limitations, primarily in terms of insufficient scene diversity in the dataset and oversimplified task design. To bridge this gap, we introduce AgroMind, a comprehensive agricultural remote sensing benchmark covering four task dimensions: spatial perception, object understanding, scene understanding, and scene reasoning, with a total of 13 task types, ranging from crop identification and health monitoring to environmental analysis. We curate a high-quality evaluation set by integrating nine public datasets and one private global parcel dataset, containing 28,482 QA pairs and 20,850 images. The pipeline begins with multi-source data pre-processing, including collection, format standardization, and annotation refinement. We then generate a diverse set of agriculturally relevant questions through the systematic definition of tasks. Finally, we employ LMMs for inference, generating responses, and performing detailed examinations. We evaluated 20 open-source LMMs and 4 closed-source models on AgroMind. Experiments reveal significant performance gaps, particularly in spatial reasoning and fine-grained recognition, it is notable that human performance lags behind several leading LMMs. By establishing a standardized evaluation framework for agricultural RS, AgroMind reveals the limitations of LMMs in domain knowledge and highlights critical challenges for future work. Data and code can be accessed at https://rssysu.github.io/AgroMind/.",,"Large multimodal models, Agricultural scenes, Dataset and benchmark, Remote sensing",https://github.com/rssysu/AgroMind,https://openreview.net/pdf?id=zZn2Kk5CLt,https://openreview.net/attachment?id=zZn2Kk5CLt&name=croissant_file
zYqM6gkqBi,UltraVideo: High-Quality UHD Video Dataset with Comprehensive Captions,"Zhucun Xue, Jiangning Zhang, Teng Hu, Haoyang He, Yinan Chen, yuxuan cai, Yabiao Wang, Chengjie Wang, Yong Liu, Xiangtai Li, Dacheng Tao",Accept (poster),"The quality of the video dataset (image quality, resolution, and fine-grained caption) greatly influences the performance of the video generation model. 
%
The growing demand for video applications sets higher requirements for high-quality video generation models. 
%
For example, the generation of movie-level Ultra-High Definition (UHD) videos and the creation of 4K short video content. 
%
However, the existing public datasets cannot support related research and applications. 
%
In this paper, we first propose a high-quality open-sourced UHD-4K (22.4\% of which are 8K) text-to-video dataset named UltraVideo, which contains a wide range of topics (more than 100 kinds), and each video has 9 structured captions with one summarized caption (average of 824 words). 
%
Specifically, we carefully design a highly automated curation process with four stages to obtain the final high-quality dataset: ***i)*** collection of diverse and high-quality video clips. ***ii*** statistical data filtering. ***iii)*** model-based data purification. ***iv)*** generation of comprehensive, structured captions. 
%
In addition, we expand Wan to UltraWan-1K/-4K, which can natively generate high-quality 1K/4K videos with more consistent text controllability, demonstrating the effectiveness of our data curation.
%
We believe that this work can make a significant contribution to future research on UHD video generation. UltraVideo dataset and UltraWan models are available at https://xzc-zju.github.io/projects/UltraVideo.",,"video dataset, video generation",https://xzc-zju.github.io/projects/UltraVideo/,https://openreview.net/pdf?id=zYqM6gkqBi,https://openreview.net/attachment?id=zYqM6gkqBi&name=croissant_file
zYAuJxcl2E,RNAscope: Benchmarking RNA Language Models for RNA Sequence Understanding,"Hui Wang, Wenjun Lin, Hongwang Xiao, Qiwei Ye, Yaqing Zhang",Reject,"Pre-trained language models (pLMs) have advanced our understanding of RNA biology. However, current evaluation frameworks remain limited in capturing the inherent complexity of RNA, leading to insufficient and biased assessments that hinder their practical applications. Here, we introduce RNAscope, a comprehensive benchmarking framework designed to gauge RNA pLMs via structure prediction, interaction classification, and function characterization. This framework includes 1,253 experiments spanning diverse subtasks of varying complexity and enables systematic model comparison with consistent architectural modules. Model assessment shows that generalization of sequence flexibility across RNA families, target contexts, and environmental features remains challenging for existing models. RNAscope provides a systematic, robust, and fair evaluation framework to accelerate RNA modeling.","We present RNAscope, a comprehensive benchmark of 1,253 experiments that systematically evaluates RNA language models across structure, interaction, and function tasks, addressing key limitations of prior work in capturing RNA biology's complexity.","RNA Language models, RNA Sequence Understanding, Benchmarks, Structure Tasks, Interaction Tasks, Function Tasks",https://anonymous.4open.science/r/RNAscope,https://openreview.net/pdf?id=zYAuJxcl2E,https://openreview.net/attachment?id=zYAuJxcl2E&name=croissant_file
zRhO4hizR8,Benchmarking Spatiotemporal Reasoning in LLMs and Reasoning Models: Capabilities and Challenges,"Pengrui Quan, Brian Wang, Kang Yang, Liying Han, Mani Srivastava",Accept (poster),"Spatiotemporal reasoning plays a key role in Cyber-Physical Systems (CPS). Despite advances in Large Language Models (LLMs) and Large Reasoning Models (LRMs), their capacity to reason about complex spatiotemporal signals remains underexplored. This paper proposes a hierarchical SpatioTemporal reAsoning benchmaRK, STARK, to systematically evaluate LLMs across three levels of reasoning complexity: state estimation (e.g., predicting field variables, localizing and tracking events in space and time), spatiotemporal reasoning over states (e.g., inferring spatial-temporal relationships), and world-knowledge-aware reasoning that integrates contextual and domain knowledge (e.g., intent prediction, landmark-aware navigation). We curate 26 distinct spatiotemporal tasks with diverse sensor modalities, comprising 14,552 challenges where models answer directly or by Python Code Interpreter. Evaluating 3 LRMs and 8 LLMs, we find LLMs achieve limited success in tasks requiring geometric reasoning (e.g., multilateration or triangulation), particularly as complexity increases. Surprisingly, LRMs show robust performance across tasks with various levels of difficulty, often competing or surpassing traditional first-principle-based methods. Our results show that in reasoning tasks requiring world knowledge, the performance gap between LLMs and LRMs narrows, with some LLMs even surpassing LRMs. However, the LRM o3 model continues to achieve leading performance across all evaluated tasks, a result attributed primarily to the larger size of the reasoning models. STARK motivates future innovations in model architectures and reasoning paradigms for intelligent CPS by providing a structured framework to identify limitations in the spatiotemporal reasoning of LLMs and LRMs.",We propose a benchmark to evaluate LLMs' spatiotemporal reasoning capabilities,"Spatiotemporal reasoning, benchmark",https://github.com/nesl/STARK_Benchmark/,https://openreview.net/pdf?id=zRhO4hizR8,https://openreview.net/attachment?id=zRhO4hizR8&name=croissant_file
z6WfQ43sHr,PhyBlock: A Progressive Benchmark for Physical Understanding and Planning via 3D Block Assembly,"Liang Ma, Jiajun Wen, Min Lin, Rongtao Xu, Xiwen Liang, Bingqian Lin, Jun Ma, Yongxin Wang, Ziming Wei, Haokun Lin, Mingfei Han, Meng Cao, Bokui Chen, Ivan Laptev, Xiaodan Liang",Accept (poster),"While vision-language models (VLMs) have demonstrated promising capabilities in reasoning and planning for embodied agents, their ability to comprehend physical phenomena, particularly within structured 3D environments, remains severely limited. To close this gap, we introduce PhyBlock, a progressive benchmark designed to assess VLMs on physical understanding and planning through robotic 3D block assembly tasks. PhyBlock integrates a novel four-level cognitive hierarchy assembly task alongside targeted Visual Question Answering (VQA) samples, collectively aimed at evaluating progressive spatial reasoning and fundamental physical comprehension, including object properties, spatial relationships, and holistic scene understanding. PhyBlock includes 2600 block tasks (400 assembly tasks, 2200 VQA tasks) and evaluates models across three key dimensions: partial completion, failure diagnosis, and planning robustness. We benchmark 23 state-of-the-art VLMs, highlighting their strengths and limitations in physically grounded, multi-step planning. 
Our empirical findings indicate that the performance of VLMs exhibits pronounced limitations in high-level planning and reasoning capabilities, leading to a notable decline in performance for the growing complexity of the tasks.
Error analysis reveals persistent difficulties in spatial orientation and dependency reasoning.
We position PhyBlock as a unified testbed to advance embodied reasoning, bridging vision-language understanding and real-world physical problem-solving.","We introduce PhyBlock, a progressive benchmark evaluating large vision-language models on physical understanding and spatial planning via robotic 3D block assembly tasks.","3D Block Assembly, Physical Understanding, Task Planning, Multimodal Reasoning",https://github.com/PhyBlock/PhyBlock,https://openreview.net/pdf?id=z6WfQ43sHr,https://openreview.net/attachment?id=z6WfQ43sHr&name=croissant_file
z3TftXOizf,OctoNet: A Large-Scale Multi-Modal Dataset for Human Activity Understanding Grounded in Motion-Captured 3D Pose Labels,"Dongsheng Yuan, Xie Zhang, Weiying Hou, Sheng Lyu, Yuemin Yu, Luca Jiang-Tao Yu, Chengxiao Li, Chenshu Wu",Accept (poster),"We introduce OctoNet, a large-scale, multi-modal, multi-view human activity dataset designed to advance human activity understanding and multi-modal learning. OctoNet comprises 12 heterogeneous modalities (including RGB, depth, thermal cameras, infrared arrays, audio, millimeter-wave radar, Wi-Fi, IMU, and more) recorded from 41 participants under multi-view sensor setups, yielding over 67.72M synchronized frames. The data encompass 62 daily activities spanning structured routines, freestyle behaviors, human-environment interaction, healthcare tasks, etc. Critically, all modalities are annotated by high-fidelity 3D pose labels captured via a professional motion-capture system, allowing precise alignment and rich supervision across sensors and views. OctoNet is one of the most comprehensive datasets of its kind, enabling a wide range of learning tasks such as human activity recognition, 3D pose estimation, multi-modal fusion, cross-modal supervision, and sensor foundation models. Extensive experiments have been conducted to demonstrate the sensing capacity using various baselines. OctoNet offers a unique and unified testbed for developing and benchmarking generalizable, robust models for human-centric perceptual AI.","A multimodal human activity and pose dataset for diversify sensing including acoustic, RF-based, vision-based, inertial, and physiological modalities","multi-modal dataset, human activity understanding, human pose estimation, non-intrusive, wireless sensing",https://github.com/aiot-lab/OctoNet/tree/main,https://openreview.net/pdf?id=z3TftXOizf,https://openreview.net/attachment?id=z3TftXOizf&name=croissant_file
yzuPL2EXAn,InfoChartQA: A Benchmark for Multimodal Question Answering on Infographic Charts,"Tianchi Xie, Minzhi Lin, Mengchen Liu, Yilin Ye, Changjian Chen, Shixia Liu",Accept (poster),"Understanding infographic charts with design-driven visual elements (e.g., pictograms, icons) requires both visual recognition and reasoning, posing challenges for multimodal large language models (MLLMs). However, existing visual question answering benchmarks fall short in evaluating these capabilities of MLLMs due to the lack of paired plain charts and visual-element-based questions. To bridge this gap, we introduce InfoChartQA, a benchmark for evaluating MLLMs on infographic chart understanding. It includes 5,642 pairs of infographic and plain charts, each sharing the same underlying data but differing in visual presentations. We further design visual-element-based questions to capture their unique visual designs and communicative intent. Evaluation of 20 MLLMs reveals a substantial performance decline on infographic charts, particularly for visual-element-based questions related to metaphors. The paired infographic and plain charts enable fine-grained error analysis and ablation studies, which highlight new opportunities for advancing MLLMs in infographic chart understanding. We release InfoChartQA at https://github.com/CoolDawnAnt/InfoChartQA.","We build InfoChartQA, a benchmark for multimodal question answering on infographic charts.","Inforgraphic chart, visual question answering, benchmark, MLLM evaluation",https://github.com/thu-vis/InfoChartQA,https://openreview.net/pdf?id=yzuPL2EXAn,https://openreview.net/attachment?id=yzuPL2EXAn&name=croissant_file
yn2fJYBKEB,RSCC: A Large-Scale Remote Sensing Change Caption Dataset for Disaster Events,"Zhenyuan Chen, Chenxi Wang, Ningyu Zhang, Feng Zhang",Accept (poster),"Remote sensing is critical for disaster monitoring, yet existing datasets lack temporal image pairs and detailed textual annotations. While single-snapshot imagery dominates current resources, it fails to capture dynamic disaster impacts  over time. To address this gap, we introduce the Remote Sensing Change Caption (RSCC) dataset, a large-scale benchmark comprising 62,351 pre-/post-disaster image pairs (spanning earthquakes, floods, wildfires, and more) paired with rich, human-like change captions. By bridging the temporal and semantic divide in remote sensing data, RSCC enables robust training and evaluation of vision-language models for disaster-aware bi-temporal understanding. Our results highlight RSCC’s ability to facilitate detailed disaster-related analysis, paving the way for more accurate, interpretable, and scalable vision-language applications in remote sensing. Code and dataset are available at https://github.com/Bili-Sakura/RSCC.","We introduce the Remote Sensing Change Caption (RSCC) dataset, a large-scale benchmark comprising 62,315 pre-/post-disaster image pairs with detailed change captions.","Remote Sensing, VLM, Change Caption",https://github.com/Bili-Sakura/RSCC,https://openreview.net/pdf?id=yn2fJYBKEB,https://openreview.net/attachment?id=yn2fJYBKEB&name=croissant_file
